TR,CoDE,pval
TR01,5.183645567809033,0.0
TR02,5.084962580291176,0.0
TR03,4.99852027693522,0.0
TR04,4.919750360670002,0.0
TR05,4.844533183809595,0.0
TR06,4.770167579245401,0.0
TR07,4.695467546466792,0.0
TR08,4.619741889506041,0.0
TR09,4.541730984480965,0.0
TR10,4.459227745546579,0.0
TR11,4.368950687666805,0.0
TR12,4.264815768710662,0.0
TR13,4.1313770085158215,0.0
TR14,3.9232970595037,0.0
TR15,3.4900746406300134,0.0002
TR16,2.9781888292172067,0.001
TR17,5.347136091927748,0.0
TR18,5.367935846864017,0.0
TR19,5.248766271413459,0.0
TR20,5.1953666763456825,0.0
TR21,5.174207158728438,0.0
TR22,5.161292755315254,0.0
TR23,5.142355048382885,0.0
TR24,5.1095720797188,0.0
TR25,5.058923762784556,0.0
TR26,4.988658811483787,0.0
TR27,4.8990933481453425,0.0
TR28,4.793079734413474,0.0
TR29,4.676385596528197,0.0
TR30,4.556906394518841,0.0
